timestamp,open,high,low,close,volume
2024-05-01 19:45:00,170.24,170.5,170.235,170.35,18626
2024-05-01 19:30:00,170.1,170.25,170.07,170.225,14741
2024-05-01 19:15:00,170.18,170.27,170.08,170.1,11846
2024-05-01 19:00:00,170.26,170.29,170.09,170.27,10236
2024-05-01 18:45:00,170.115,170.29,170.02,170.21,9950
2024-05-01 18:30:00,170.14,170.28,170.08,170.1,11337
2024-05-01 18:15:00,170.325,170.35,169.3,170.196,24695
2024-05-01 18:00:00,170.3,170.45,170.15,170.35,17230
2024-05-01 17:45:00,170.26,170.35,170.03,170.3,11651
2024-05-01 17:30:00,170.27,170.42,169.3,170.275,70673
2024-05-01 17:15:00,170.2,170.27,170.02,170.26,21540
2024-05-01 17:00:00,170.04,170.23,169.3,170.159,33210
2024-05-01 16:45:00,169.9,181.082,163.662,170.03,115953
2024-05-01 16:30:00,169.94,170.25,169.3,169.9,82959
2024-05-01 16:15:00,169.3,170.1,169.3,169.93,571520
2024-05-01 16:00:00,169.3,171.114,169.1,169.8,14830905
2024-05-01 15:45:00,171.255,171.58,169.25,169.31,6187728
2024-05-01 15:30:00,172.385,172.39,170.88,171.27,2298186
2024-05-01 15:15:00,172.59,172.705,171.98,172.39,1677455
2024-05-01 15:00:00,172.49,172.652,170.91,172.58,1785772
2024-05-01 14:45:00,172.42,172.635,172.053,172.48,1858202
2024-05-01 14:30:00,171.42,172.41,170.895,172.4,3238040
2024-05-01 14:15:00,170.885,171.495,170.83,171.42,910267
2024-05-01 14:00:00,171.24,171.51,170.86,170.89,1386674
2024-05-01 13:45:00,170.625,171.249,170.61,171.23,999515
2024-05-01 13:30:00,171.125,171.16,170.62,170.63,772176
2024-05-01 13:15:00,170.82,171.21,170.755,171.12,770282
2024-05-01 13:00:00,171.055,171.09,170.82,170.821,544750
2024-05-01 12:45:00,171.38,171.45,171.06,171.06,600501
2024-05-01 12:30:00,171.38,171.45,171.22,171.372,948020
2024-05-01 12:15:00,171.579,171.665,171.29,171.395,846823
2024-05-01 12:00:00,171.52,171.72,171.39,171.575,952821
2024-05-01 11:45:00,171.49,171.6,169.532,171.52,1202916
2024-05-01 11:30:00,171.17,171.49,171.1,171.48,1124997
2024-05-01 11:15:00,170.99,171.17,170.645,171.17,1009148
2024-05-01 11:00:00,171.1,171.36,170.81,170.995,949782
2024-05-01 10:45:00,170.95,171.35,170.94,171.105,1180259
2024-05-01 10:30:00,170.785,170.98,170.65,170.95,1140071
2024-05-01 10:15:00,170.765,171.07,170.52,170.815,1614130
2024-05-01 10:00:00,170.32,170.95,170.17,170.765,1560261
2024-05-01 09:45:00,170.28,170.639,170.18,170.33,1502501
2024-05-01 09:30:00,169.58,170.36,169.11,170.25,3049700
2024-05-01 09:15:00,169.729,170.19,169.6,169.78,141188
2024-05-01 09:00:00,169.93,170.33,169.58,169.721,42844
2024-05-01 08:45:00,169.99,170.33,169.88,169.96,30290
2024-05-01 08:30:00,169.77,174.85,169.59,169.935,114483
2024-05-01 08:15:00,169.78,169.95,169.66,169.78,41691
2024-05-01 08:00:00,169.605,170.63,169.276,169.73,72968
2024-05-01 07:45:00,170.03,170.09,169.86,169.96,12217
2024-05-01 07:30:00,169.84,170.15,169.83,170.03,12488
2024-05-01 07:15:00,169.97,170.03,169.81,169.81,6742
2024-05-01 07:00:00,170.13,170.2,169.92,169.98,12048
2024-05-01 06:45:00,169.93,170.33,169.93,170.21,7885
2024-05-01 06:30:00,169.86,169.93,169.73,169.93,3027
2024-05-01 06:15:00,169.96,169.97,169.81,169.88,1514
